Decision Tree,Random Forest,Gradient Boost
0.8562830872109223,0.8600167177486765,0.7158539983282252
0.8273056561716355,0.8435775982167734,0.711173028698802
"[[7181 1826]
 [ 753 8185]]","[[7238 1769]
 [ 743 8195]]","[[6357 2650]
 [2449 6489]]"
[0.77272727 0.63043478 0.96774194 ... 0.93333333 0.         0.65648855],[0.76096941 0.62461218 0.96936823 ... 0.93580794 0.         0.66725376],[0.46413422 0.47279573 0.81660601 ... 0.83687301 0.49026424 0.52120035]
"[0.         0.00432997 0.00444099 0.00455202 0.00455202 0.00466304
 0.00466304 0.00477406 0.00499611 0.00499611 0.00521816 0.00521816
 0.00566226 0.00610636 0.00621739 0.00632841 0.00632841 0.00643944
 0.00666149 0.00666149 0.00710558 0.00743866 0.00766071 0.00810481
 0.00832686 0.00865993 0.00888198 0.0094371  0.00954813 0.00954813
 0.00954813 0.00977018 0.01043633 0.01088043 0.01088043 0.01110248
 0.01132453 0.01154657 0.01154657 0.0116576  0.0116576  0.01187965
 0.01221272 0.01232375 0.01232375 0.01243477 0.01332297 0.01354502
 0.01354502 0.01354502 0.01421117 0.01476629 0.01509937 0.01543244
 0.01576552 0.01598757 0.01620961 0.01654269 0.01698679 0.01754191
 0.01765294 0.01843011 0.01909626 0.01920728 0.01931831 0.01942933
 0.01954036 0.01976241 0.02009548 0.02076163 0.02098368 0.02131675
 0.02142778 0.02164983 0.02220495 0.02220495 0.02231598 0.02253803
 0.02264905 0.02276008 0.02309315 0.02320417 0.02387032 0.0250916
 0.02564672 0.02564672 0.02575774 0.02597979 0.02620184 0.02631287
 0.02653492 0.02686799 0.02697902 0.02720107 0.02786721 0.02797824
 0.02808926 0.02853336 0.02853336 0.02864439 0.02875541 0.02919951
 0.02953259 0.02986566 0.03064283 0.03119796 0.03119796 0.03119796
 0.03164206 0.03264128 0.03264128 0.03286333 0.03308538 0.03397358
 0.03419563 0.03463972 0.03508382 0.03574997 0.03574997 0.03619407
 0.03619407 0.03619407 0.03719329 0.03808149 0.03841457 0.03863662
 0.03874764 0.03919174 0.04019096 0.04052404 0.04063506 0.04119019
 0.04152326 0.04185633 0.04207838 0.04241146 0.04307761 0.04318863
 0.04407683 0.04463195 0.04463195 0.044854   0.04496503 0.04563118
 0.04640835 0.04696347 0.0470745  0.04729655 0.04740757 0.04785167
 0.04851782 0.04929499 0.05040524 0.05096036 0.05118241 0.05151549
 0.05262574 0.05284779 0.05418008 0.05484623 0.05529033 0.05617853
 0.05662263 0.05673365 0.05817697 0.05928722 0.06017542 0.06039747
 0.06061952 0.06084157 0.06095259 0.06228489 0.06239591 0.06306206
 0.06350616 0.06372821 0.06406129 0.06494948 0.06617076 0.067281
 0.06761408 0.06872433 0.0690574  0.06927945 0.0699456  0.07016765
 0.07072277 0.07116687 0.07149994 0.07183302 0.07227712 0.07316532
 0.07338737 0.07416454 0.07427556 0.07449761 0.07538581 0.07649606
 0.07671811 0.07782836 0.0784945  0.07916065 0.07927168 0.08038193
 0.080715   0.08104807 0.0816032  0.08238037 0.08282447 0.08393472
 0.08448984 0.08504497 0.08671034 0.08782058 0.08804263 0.08904186
 0.089708   0.09037415 0.09092928 0.09092928 0.0932608  0.09437104
 0.09603642 0.09803486 0.09825691 0.09925613 0.09958921 0.1022538
 0.10336405 0.10347507 0.10425225 0.10436327 0.1053625  0.10569557
 0.10591762 0.10658377 0.10724992 0.10736094 0.10769402 0.10924836
 0.11091373 0.11102476 0.11113578 0.11180193 0.11291218 0.11424448
 0.11513267 0.11713112 0.11801932 0.11979571 0.12035084 0.12079494
 0.12179416 0.12323748 0.12412568 0.12456978 0.12501388 0.125569
 0.12623515 0.12656822 0.12701232 0.13034307 0.13245254 0.13433996
 0.1367825  0.1372266  0.1376707  0.13833685 0.13878095 0.1398912
 0.14033529 0.14077939 0.14089042 0.14144554 0.14233374 0.14399911
 0.14422116 0.14533141 0.14555346 0.14810703 0.14855113 0.14966137
 0.15032752 0.15121572 0.15177084 0.15199289 0.15310314 0.15421339
 0.15454646 0.15521261 0.15532364 0.15565671 0.15665593 0.15854336
 0.15898745 0.15987565 0.16031975 0.16254025 0.1627623  0.1632064
 0.16476074 0.16520484 0.16598201 0.16709226 0.16875763 0.16942378
 0.1717553  0.17197735 0.17386477 0.1744199  0.17608527 0.17730654
 0.17752859 0.17874986 0.17952703 0.17986011 0.18074831 0.18241368
 0.1834129  0.183857   0.18496725 0.18541135 0.18596647 0.18752082
 0.18840902 0.18874209 0.18874209 0.19018541 0.19196181 0.19340513
 0.19440435 0.19451538 0.19751305 0.19806817 0.19906739 0.20273121
 0.20450761 0.20528478 0.20661708 0.20961474 0.21283446 0.21383368
 0.21505496 0.21583213 0.21849672 0.2192739  0.22049517 0.22415899
 0.22504719 0.22571333 0.22993227 0.2309315  0.23204175 0.23292994
 0.23492839 0.23725991 0.24136783 0.24369934 0.24414344 0.24603086
 0.24925058 0.25136005 0.25224825 0.25313645 0.25480182 0.25646719
 0.25779949 0.25957589 0.26168536 0.2632397  0.26357278 0.26723659
 0.26779172 0.26901299 0.27012324 0.27101144 0.27312091 0.27511935
 0.27645165 0.28022649 0.28233596 0.28344621 0.2878872  0.28966359
 0.29132897 0.29377151 0.29632508 0.2977684  0.30054402 0.30354169
 0.3085378  0.3112024  0.31197957 0.31342289 0.31475519 0.31719774
 0.32008438 0.32274897 0.32496947 0.32796714 0.3314089  0.33529477
 1.        ]",[0.         0.00188742 0.00199845 ... 0.50338626 0.50394138 1.        ],[0.         0.         0.         ... 0.99933385 0.99977795 1.        ]
"[0.         0.11870665 0.12016111 0.12172746 0.12318192 0.12508391
 0.12709778 0.12844037 0.12967107 0.13023048 0.13325129 0.13638398
 0.13951667 0.14343254 0.14667711 0.15059297 0.15260685 0.15831282
 0.15943164 0.1603267  0.16614455 0.16838219 0.17274558 0.17789215
 0.18292683 0.18572388 0.18796151 0.1910942  0.19254867 0.19344372
 0.19501007 0.19926158 0.2065339  0.21011412 0.21168047 0.21458939
 0.21783397 0.22141419 0.22398747 0.22465876 0.23025285 0.23092414
 0.24065787 0.2416648  0.24546878 0.2478183  0.2571045  0.26001343
 0.26258671 0.26426494 0.27254419 0.27411054 0.27959275 0.28529872
 0.28999776 0.29313045 0.29536809 0.30398299 0.31036026 0.31528306
 0.3199821  0.328597   0.33307228 0.33452674 0.33810696 0.33944954
 0.3403446  0.34191094 0.34347729 0.34862385 0.35209219 0.35365854
 0.35679123 0.36037145 0.36395167 0.36708436 0.36786753 0.37133587
 0.37390915 0.37592303 0.38084583 0.38140524 0.38442605 0.3976281
 0.40132021 0.40266279 0.40478854 0.40713806 0.408145   0.40848064
 0.41228463 0.41608861 0.41866189 0.42201835 0.4253748  0.42772432
 0.43119266 0.43320653 0.43421347 0.43678675 0.43779369 0.4445066
 0.44551354 0.44808682 0.45614231 0.45905124 0.46095323 0.46162452
 0.46330275 0.46677109 0.46878496 0.47270083 0.473484   0.47885433
 0.47997315 0.48187514 0.48444842 0.48925934 0.48993063 0.49183262
 0.49239203 0.49339897 0.50078317 0.50380398 0.50592974 0.50783173
 0.51018125 0.51275453 0.51689416 0.51890803 0.52204072 0.52494965
 0.52752294 0.52942493 0.53278138 0.53624972 0.53859924 0.53927053
 0.54162005 0.54542403 0.54609532 0.54822108 0.55314388 0.55739539
 0.56276572 0.56477959 0.56511524 0.56679347 0.56712911 0.56880734
 0.57160439 0.57406579 0.58010741 0.58245693 0.58346386 0.58469456
 0.58771537 0.58950548 0.5906243  0.59476393 0.59644216 0.59812038
 0.60114119 0.60192437 0.60516894 0.60807787 0.61042739 0.61109868
 0.61288879 0.61479078 0.61736406 0.62239875 0.62418886 0.62541956
 0.62631461 0.62855225 0.62978295 0.63425822 0.63940479 0.64466324
 0.64567017 0.65115238 0.65271873 0.65394943 0.65641083 0.65808906
 0.65976729 0.6608861  0.66234057 0.6640188  0.66469009 0.66580891
 0.66692772 0.67006042 0.67084359 0.67162676 0.67554263 0.67833967
 0.67923473 0.68113672 0.68214366 0.68359812 0.68449318 0.68695458
 0.6874021  0.69019915 0.6910942  0.6929962  0.6942269  0.69859029
 0.69926158 0.70093981 0.70485567 0.70720519 0.70832401 0.7114567
 0.71335869 0.71481316 0.71693891 0.71772209 0.72421123 0.7268964
 0.73092414 0.73383307 0.73450436 0.73607071 0.736742   0.74144104
 0.74434997 0.74524502 0.74647572 0.74815395 0.7502797  0.75106288
 0.75206981 0.75274111 0.75441933 0.75542627 0.75665697 0.76046095
 0.76404117 0.76504811 0.76639069 0.76706198 0.76974715 0.77377489
 0.77466995 0.78205415 0.78328485 0.78686507 0.78843142 0.78910271
 0.78999776 0.79212352 0.79245916 0.79368986 0.7959275  0.79704632
 0.79771761 0.79883643 0.79973148 0.80431864 0.80901768 0.8138286
 0.81931081 0.8199821  0.82255538 0.82356232 0.82468114 0.82635936
 0.82703066 0.8273663  0.82814947 0.82915641 0.82993958 0.83340792
 0.83452674 0.8359812  0.83654061 0.84068024 0.84336541 0.84504363
 0.84716939 0.84907138 0.85108525 0.85186843 0.8538823  0.85611994
 0.8575744  0.85824569 0.8588051  0.85947639 0.86149027 0.86551801
 0.86596554 0.86797941 0.86887447 0.86988141 0.87122399 0.8717834
 0.87245469 0.87357351 0.87469232 0.87625867 0.87760125 0.87782502
 0.88118147 0.88185276 0.88442605 0.88576863 0.88733497 0.88789438
 0.88856567 0.89113896 0.89181025 0.89259342 0.89337659 0.89494294
 0.89572611 0.89684493 0.8982994  0.89863504 0.89919445 0.90109644
 0.90176773 0.90243902 0.90277467 0.90467666 0.90613113 0.90736183
 0.90836876 0.90870441 0.91116581 0.9118371  0.91295592 0.91575296
 0.91877377 0.9192213  0.92089953 0.92403222 0.92615798 0.92705303
 0.92828373 0.93040949 0.93410159 0.93510853 0.93622734 0.93969568
 0.94003133 0.94126203 0.94439472 0.94640859 0.94741553 0.94797494
 0.94920564 0.95088387 0.95278586 0.95390468 0.95457597 0.95636608
 0.95905124 0.96050571 0.96162452 0.96207205 0.96285522 0.96352652
 0.96498098 0.96576415 0.9673305  0.96833744 0.96912061 0.97214142
 0.97270083 0.97415529 0.97493846 0.97572164 0.97628105 0.97695234
 0.97739987 0.97907809 0.97952562 0.98075632 0.98254643 0.9833296
 0.98411278 0.98489595 0.98545536 0.98668606 0.98735735 0.98825241
 0.99127322 0.99205639 0.9926158  0.99373462 0.99429403 0.9950772
 0.99541284 0.99641978 0.99731484 0.99888118 0.99932871 1.
 1.        ]",[0.         0.11870665 0.12016111 ... 1.         1.         1.        ],[0.         0.00156635 0.00223764 ... 1.         1.         1.        ]
0.9310360793697093,0.9361168905624557,0.7895267952876114
